id,title,year,type,num_subscription_services,has_subscription,exclusive,rent_buy_only,cinema_only,subscription_services,monetization_types
ts448411,Rhythm + Flow: Brazil,2024,show,1,true,true,false,false,Netflix,FLATRATE
ts435908,Deb's House,2024,show,1,true,true,false,false,ALLBLK,BUY|FLATRATE|FREE
ts427458,Melissa Etheridge: I'm Not Broken,2024,show,1,true,true,false,false,Paramount+,FLATRATE
ts453974,GEN MEX,2024,show,1,true,true,false,false,Amazon Prime Video,FLATRATE
ts403080,It's All Country,2024,show,2,true,false,false,false,Disney+|Hulu,FLATRATE
ts310810,DORA,2024,show,1,true,true,false,false,Paramount+,BUY|FLATRATE|FREE
ts383572,Who Is She,2024,show,2,true,false,false,false,Kocowa|OnDemandKorea,FLATRATE
ts423982,Papás por Conveniencia,2024,show,0,false,false,false,false,,FLATRATE
ts420452,Himitsu no AiPri,2024,show,0,false,false,false,false,,
ts417931,Sasayaku You ni Koi wo Utau,2024,show,1,true,true,false,false,Hidive,BUY|FLATRATE
ts415958,Girls Band Cry,2024,show,1,true,true,false,false,Crunchyroll,BUY|FLATRATE|FREE
ts422755,Namib,2024,show,1,true,true,false,false,Rakuten Viki,ADS|FLATRATE
ts342391,James Brown: Say It Loud,2024,show,0,false,false,true,false,,ADS|BUY|FLATRATE|FREE
ts447971,Mozart: Rise of a Genius,2024,show,1,true,true,false,false,UP Faith & Family,FLATRATE
ts433543,Girls on Fire,2024,show,2,true,false,false,false,OnDemandKorea|Rakuten Viki,ADS|FLATRATE
ts60087,Gospel,2024,show,1,true,true,false,false,PBS Documentaries,BUY|FLATRATE
ts475688,Recorded Live at Analog,2024,show,0,false,false,false,false,,ADS|FLATRATE|FREE
ts412000,Ace of Base - All That She Wants,2024,show,0,false,false,true,false,,BUY|FLATRATE|RENT
ts417735,Kings from Queens: The Run DMC Story,2024,show,1,true,true,false,false,Peacock,FLATRATE
ts443359,Made in Korea: The K-Pop Experience,2024,show,0,false,false,false,false,,ADS
ts17881,Audio-Files,2024,show,0,false,false,false,false,,FREE
ts443129,Biography: Alice Cooper,2024,show,0,false,false,true,false,,BUY
ts450484,Reggaeton: The Sound That Conquered the World,2024,show,1,true,true,false,false,Peacock,FLATRATE
ts515985,Moon Girl and Devil Dinosaur: Moon Girl's Lab,2024,show,1,true,true,false,false,Disney+,FLATRATE
ts440499,Barbie Doll Adventures,2024,show,1,true,true,false,false,Amazon Prime Video,FLATRATE
tm1449185,The Fire Inside,2024,movie,2,true,false,false,false,Amazon Prime Video|MGM+,BUY|CINEMA|FLATRATE|RENT
tm1125511,The Beautiful Game,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1515051,Rez Ball,2024,movie,1,true,true,false,false,Netflix,CINEMA|FLATRATE
tm1519442,Boxer,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1479183,Bionic,2024,movie,1,true,true,false,false,Netflix,FLATRATE
tm1457202,Jake Paul vs. Mike Tyson,2024,movie,1,true,true,false,false,Netflix,FLATRATE
